,author,date,sha,parent,files_num,additions,deletions
0,Erez Shinan,"Fri, 21 Jan 2022 07:51:58 GMT",ee27eb47ddbb24acbecb17f80c3878fe7cb70c01,"['343c22e21802fa19d44cc0fff1a0d8c6f1b07244', 'c9c01405a00c24cc2ac518090deee4816b901135']",6,77,51
1,Patrick Lannigan,"Fri, 21 Jan 2022 07:51:58 GMT",c9c01405a00c24cc2ac518090deee4816b901135,['164642646b6c01e6ba2f0278f4f84344385b2f53'],3,11,33
2,Patrick Lannigan,"Fri, 21 Jan 2022 07:51:58 GMT",164642646b6c01e6ba2f0278f4f84344385b2f53,['732143a708eeef9e76da992684213deb5ef507df'],3,33,11
3,Patrick Lannigan,"Fri, 21 Jan 2022 07:51:58 GMT",732143a708eeef9e76da992684213deb5ef507df,['acf2a26329db479f22fa8a6e0570967366a65d99'],1,9,9
4,Patrick Lannigan,"Fri, 21 Jan 2022 07:51:58 GMT",acf2a26329db479f22fa8a6e0570967366a65d99,['8a8b70d81a16b3bb146d14abf0bad4e2b61a40d7'],2,7,6
5,Patrick Lannigan,"Fri, 21 Jan 2022 07:51:58 GMT",8a8b70d81a16b3bb146d14abf0bad4e2b61a40d7,['f6e1abef9dcddf61f566c0acc3f78258b02b1aaf'],1,10,4
6,Patrick Lannigan,"Fri, 21 Jan 2022 07:51:58 GMT",f6e1abef9dcddf61f566c0acc3f78258b02b1aaf,['f6b39d902b4667c2f77d3f6fa72fe0b22fb76b89'],1,3,3
7,Patrick Lannigan,"Fri, 21 Jan 2022 07:51:58 GMT",f6b39d902b4667c2f77d3f6fa72fe0b22fb76b89,['862fb79d05f67d325c636d2c2c99115d7bb96910'],1,8,2
8,Patrick Lannigan,"Fri, 21 Jan 2022 07:51:58 GMT",862fb79d05f67d325c636d2c2c99115d7bb96910,['9c844c920ce3eacbc3a079cbd68f0422f090375e'],1,6,3
9,Patrick Lannigan,"Fri, 21 Jan 2022 07:51:58 GMT",9c844c920ce3eacbc3a079cbd68f0422f090375e,['9d1dcd4a22cef08facd4364ec3bbc78827580e62'],1,8,6
10,Patrick Lannigan,"Fri, 21 Jan 2022 07:51:58 GMT",9d1dcd4a22cef08facd4364ec3bbc78827580e62,['b1ee70c4059f890dbe54c2be8a961d60fd49de3d'],1,3,3
11,Patrick Lannigan,"Fri, 21 Jan 2022 07:51:58 GMT",b1ee70c4059f890dbe54c2be8a961d60fd49de3d,['343c22e21802fa19d44cc0fff1a0d8c6f1b07244'],5,54,46
12,Erez Sh,"Fri, 21 Jan 2022 07:51:58 GMT",343c22e21802fa19d44cc0fff1a0d8c6f1b07244,['a8900c13b71f44ac27f7441203ce96461a7c553f'],1,6,6
13,Erez Sh,"Fri, 21 Jan 2022 07:51:58 GMT",a8900c13b71f44ac27f7441203ce96461a7c553f,['f83fd6bf76d45ca2b11d012270b9b42645f82177'],2,3,4
14,Erez Sh,"Fri, 21 Jan 2022 07:51:58 GMT",f83fd6bf76d45ca2b11d012270b9b42645f82177,"['554835f19ea8cdc2d6f8dd8ff5c8d64b4678a665', 'be3be1815ead4064e76ce70af70d87088c77c047']",7,20,25
15,Erez Shinan,"Fri, 21 Jan 2022 07:51:58 GMT",be3be1815ead4064e76ce70af70d87088c77c047,"['b79c449dc3d955c14dea994bcb6d85c2506b71ad', '9f05a3702a6519516c1a87f46a613a4ec47f4dc1']",8,20,28
16,Erez Sh,"Fri, 21 Jan 2022 07:51:58 GMT",9f05a3702a6519516c1a87f46a613a4ec47f4dc1,"['82ad512c1aaef202e302e0966230f1080a8c0d26', 'b79c449dc3d955c14dea994bcb6d85c2506b71ad']",36,411,1028
17,Erez Sh,"Fri, 21 Jan 2022 07:51:58 GMT",554835f19ea8cdc2d6f8dd8ff5c8d64b4678a665,"['0fddb7fef6de455bca7110266633df8341e90f21', 'b79c449dc3d955c14dea994bcb6d85c2506b71ad']",16,333,104
18,Erez Shinan,"Fri, 21 Jan 2022 07:51:58 GMT",b79c449dc3d955c14dea994bcb6d85c2506b71ad,"['3e2a61aa1483a6fd90d2a0bbd9ef066082d0899c', 'e30eef7a5325666eb5747e09841afd04def0c84a']",20,510,236
19,Erez Shinan,"Fri, 21 Jan 2022 07:51:58 GMT",82ad512c1aaef202e302e0966230f1080a8c0d26,"['c998d0bd2a57b8ec5552f02b1c56c9e70c2a28ed', '3269605211f92942296257e34722a979801c204c']",3,1,27
20,Erez Shinan,"Fri, 21 Jan 2022 07:51:58 GMT",c998d0bd2a57b8ec5552f02b1c56c9e70c2a28ed,"['d637b1179fa5ac9f0751b9f3321eeba5fd1b3b75', '8f73a58a5446a2ffb078905af8acd11c358d3425']",2,2,2
21,Michael Käufl,"Fri, 21 Jan 2022 07:51:58 GMT",8f73a58a5446a2ffb078905af8acd11c358d3425,['d637b1179fa5ac9f0751b9f3321eeba5fd1b3b75'],2,2,2
22,Michael Käufl,"Fri, 21 Jan 2022 07:51:58 GMT",3269605211f92942296257e34722a979801c204c,['d637b1179fa5ac9f0751b9f3321eeba5fd1b3b75'],3,1,27
