"body_len", "creation_date", "labels", "id", "title_len", "last_modified_date", "closed_at", "author", "comments_num"
348, 2022-12-18 14:34:39, , 1501926561, 53, None, 2022-12-19 15:28:55, Dmitry Gritsenko, 2
1056, 2022-12-06 13:39:09, enhancement, 1479132439, 31, None, 2022-12-06 13:53:43, Vincent Hugot, 5
56, 2022-12-05 21:02:05, , 1477431843, 29, None, 2022-12-09 13:11:19, Jitendra Mishra, 2
69, 2022-12-05 15:14:20, , 1476790138, 37, None, 2022-12-09 03:36:45, Jitendra Mishra, 10
101, 2022-12-05 01:51:18, , 1475399011, 50, None, 2022-12-05 14:06:08, Jitendra Mishra, 5
None, 2022-12-03 18:20:12, , 1474178570, 60, None, 2022-12-05 13:28:12, Erez Shinan, 0
None, 2022-11-27 13:07:32, , 1465435820, 22, None, 2022-11-27 13:08:46, Erez Shinan, 0
63, 2022-11-26 16:11:11, , 1465193955, 16, None, 2022-11-28 11:56:27, Boris Somodvarac, 1
864, 2022-11-24 23:07:28, , 1463878047, 79, None, 2022-11-27 13:09:57, Thomas Fischbacher, 1
65, 2022-11-20 06:40:32, , 1456792418, 35, None, 2022-11-27 13:11:45, None, 1
2838, 2022-11-19 15:17:46, question, 1456536728, 39, None, 2022-11-30 19:06:58, Taven, 1
1310, 2022-11-16 22:55:03, , 1452395805, 43, None, 2022-11-27 13:11:46, Yuriy Mann, 5
393, 2022-11-07 12:12:15, question, 1438262446, 34, None, 2022-11-07 14:12:43, None, 25
643, 2022-11-04 14:56:06, question, 1436209099, 54, None, 2022-12-30 11:18:21, None, 4
168, 2022-11-02 06:38:36, , 1432582094, 61, None, 2022-11-02 16:52:35, Michał Górny, 5
None, 2022-11-02 01:43:57, , 1432337528, 13, None, 2022-11-02 01:45:31, Erez Shinan, 0
449, 2022-10-27 22:22:27, question, 1426331274, 33, None, 2022-10-27 23:10:15, Ederic Oytas, 6
None, 2022-10-27 18:34:44, , 1426105704, 25, None, 2022-10-27 18:37:22, Erez Shinan, 0
52, 2022-10-27 02:08:36, , 1424919172, 21, None, 2022-10-27 04:46:16, Henry Schreiner, 1
None, 2022-10-25 12:53:19, , 1422417402, 94, None, 2022-10-27 15:05:59, Erez Shinan, 3
292, 2022-10-24 19:43:58, , 1421342316, 24, None, 2022-10-24 21:59:28, Benny, 1
456, 2022-10-24 12:37:31, , 1420763518, 44, None, 2022-10-25 16:12:36, pamaron, 1
None, 2022-10-14 13:19:47, , 1409344857, 27, None, 2022-10-27 15:05:44, jan Apisu, 2
158, 2022-10-14 13:07:43, , 1409328842, 83, None, 2022-11-27 13:26:47, jan Apisu, 3
None, 2022-10-07 18:05:17, , 1401513155, 19, None, 2022-10-07 18:21:02, Erez Shinan, 0
64, 2022-09-23 17:07:39, , 1384079755, 26, None, 2022-09-23 19:59:57, Blake Ramsdell, 0
4428, 2022-09-23 06:16:00, , 1383341924, 61, None, 2022-11-27 13:28:22, Blake Ramsdell, 3
1328, 2022-09-15 23:13:14, question, 1375193995, 34, None, 2022-09-21 18:06:29, Rémy Sanchez, 6
94, 2022-09-15 19:13:19, , 1374970450, 24, None, 2022-09-16 18:45:03, Erez Shinan, 1
191, 2022-09-15 16:02:04, , 1374763816, 62, None, 2022-09-15 20:58:28, None, 8
None, 2022-09-11 07:22:04, , 1368857708, 29, None, 2022-09-11 08:20:26, Erez Shinan, 0
200, 2022-09-07 15:28:21, question, 1364845405, 27, None, 2022-09-07 17:48:42, Julián Arenas Guerrero, 4
1481, 2022-09-07 14:30:25, , 1364758384, 106, None, 2022-09-15 20:58:29, None, 1
229, 2022-08-22 17:14:53, , 1346744902, 51, None, 2022-08-23 05:22:48, None, 1
2152, 2022-08-22 01:38:11, , 1345681061, 39, None, 2022-08-23 05:27:05, None, 2
681, 2022-08-17 17:08:56, , 1342055194, 40, None, 2022-10-27 18:19:25, None, 14
1196, 2022-08-15 11:32:02, , 1338868020, 48, None, 2022-10-27 18:19:26, None, 12
756, 2022-08-12 20:23:51, , 1337672528, 66, None, 2022-09-11 08:20:28, Ken Lauer, 4
1454, 2022-08-11 00:01:36, , 1335326365, 88, None, 2022-09-11 08:20:29, Ken Lauer, 0
1887, 2022-08-01 17:59:02, , 1324774042, 45, None, 2022-10-07 18:21:20, None, 2
2770, 2022-07-27 16:43:38, , 1319825626, 52, None, 2022-07-27 19:01:54, None, 5
302, 2022-07-27 03:40:10, , 1318978289, 32, None, 2022-07-27 07:45:26, None, 1
